time,accX,accY,accZ,wRoll,wPitch,wYaw
13.78,  -0.34381585,  -0.10805641,  -9.87242655,0.03490658504,0.10471975512,0.31415926536
13.82,       -0.25540606,        0.10805641,-9.666137040000001,     0.05235987756,     0.06981317008,     0.22689280276
13.85,  -0.22593613,            0,  -9.61702049,0.03490658504,0.03490658504,0.15707963268
13.89,        -0.1964662,       -0.22593613,-9.754546830000001,     0.05235987756,                 0,     0.01745329252
13.92,       -0.56975198,       -0.25540606,-9.931366410000001,                 0,                 0,     -0.0872664626
13.95,   -0.34381585,   -0.34381585,   -9.87242655,-0.06981317008, 0.01745329252, -0.1745329252
13.98,       -0.22593613,       -0.34381585,-9.754546830000001,    -0.10471975512,                 0,    -0.22689280276
14.01,       -0.37328578,       -0.25540606,-9.842956620000001,     -0.1745329252,    -0.01745329252,    -0.27925268032
14.04,       -0.28487599,       -0.22593613,-9.666137040000001,     -0.1745329252,    -0.05235987756,    -0.31415926536
14.08,       -0.28487599,       -0.25540606,-9.558080629999999,    -0.12217304764,    -0.06981317008,     -0.3490658504
14.11,       -0.37328578,        -0.1964662,-9.558080629999999,     -0.0872664626,    -0.10471975512,      -0.436332313
14.15,       -0.46169557,       -0.31434592,-9.646490419999999,     -0.0872664626,    -0.10471975512,    -0.40142572796
14.18,        -0.4911655,       -0.40275571,-9.754546830000001,    -0.12217304764,    -0.10471975512,    -0.38397243544
14.22,   -0.52063543,   -0.40275571,   -9.78401676, -0.0872664626, -0.0872664626,-0.40142572796
14.25,       -0.56975198,       -0.31434592,-9.725076899999999,    -0.10471975512,    -0.05235987756,    -0.40142572796
14.29,       -0.65816177,       -0.04911655,-9.842956620000001,    -0.10471975512,    -0.05235987756,      -0.436332313
14.33,   -0.62869184,   -0.25540606,   -9.90189648,-0.06981317008,-0.06981317008,-0.41887902048
14.36,   -0.74657156,   -0.22593613,   -9.78401676,-0.05235987756,-0.01745329252,-0.41887902048
14.39,       -0.74657156,       -0.16699627,-9.725076899999999,    -0.06981317008,                 0,    -0.41887902048
14.43,       -0.55010536,       -0.28487599,-9.754546830000001,    -0.03490658504,    -0.01745329252,      -0.436332313
14.46,        -0.6876317,       -0.16699627,-9.754546830000001,    -0.03490658504,    -0.05235987756,    -0.47123889804
14.51,   -0.95286107,   -0.04911655,   -9.81348669,-0.06981317008,-0.05235987756,-0.50614548308
